vp;age
inc04;31
inc05;31
inc06;29
inc07;30
inc08;22
inc09;20
inc10;20
inc11;22
inc12;28
inc13;24
inc14;27
inc15;30
inc16;30
inc17;21
inc18;18
inc19;33
inc20;23
inc21;34
inc22;20
inc23;24
inc24;26
inc25;20
inc26;29
inc27;26
inc28;24
inc29;33
inc30;23
inc31;29
inc32;27
inc33;33
inc34;25
inc35;26
inc36;24
inc37;29
inc38;25
inc39;31
inc40;24
inc41;22
inc42;25
inc43;27
inc44;20
inc45;19
inc46;21
inc47;24
inc48;23
inc49;33
inc50;28
